,accuracy,precision,recall,f1,auc
Logistic Regression,0.9510807736063709,0.9628482972136223,0.9703588143525741,0.9665889665889665,0.9825574535586465
Decision Tree,0.906712172923777,0.9306625577812019,0.9422776911076443,0.9364341085271318,0.8138740675677446
Random Forest,0.9374288964732651,0.9549689440993789,0.9594383775351014,0.9571984435797666,0.9769399179328517
